"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Bhaskaran et al. (2011)","Myocardial infarction","y","SO2","1-6",1.000740741,0.9585185185,1.045185185,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","SO2","7-12",0.9881481481,0.9407407407,1.039259259,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","SO2","13-18",1.005925926,0.9577777778,1.054814815,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","SO2","19-24",1.024444444,0.9814814815,1.06962963,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","SO2","1-6",1,0.9733333333,1.025925926,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","SO2","7-12",1.006666667,0.977037037,1.037777778,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","SO2","13-18",0.977037037,0.9488888889,1.006666667,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","SO2","19-24",1.013333333,0.9866666667,1.04,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Chen, L. et al. (2014)","Acute ischemic stroke","y","CO","1-24",1.16,1.04,1.3,NA,NA,0.43,"ppm","Canada","America","Alberta Health Services","5 (1998-2002)",2.95,"OR","Conditional logistic regression","General","EDV","warm"
"Chen, L. et al. (2014)","Acute ischemic stroke","y","CO","1-8",1.11,1,1.23,NA,NA,0.43,"ppm","Canada","America","Alberta Health Services","5 (1998-2002)",2.95,"OR","Conditional logistic regression","General","EDV","warm"
