fa_year,disease,general,exposure,mean_hourly,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,unit_original,continent,country,cohort,fu,n,population,incidence,male_pct,mean_temp,Molecular.weight,Type.of.ES,Statistical.method,Population,Outcome,stratification
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM2.5,5.2,2-6,0.865,0.638,1.171,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM2.5,5.2,7-12,0.952,0.708,1.281,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM2.5,5.2,13-24,0.827,0.58,1.181,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,NO2,4,1,0.933,0.761,1.145,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,NO2,4,2-6,0.894,0.692,1.153,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,NO2,4,7-12,0.82,0.587,1.145,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,NO2,4,13-24,1.361,0.9,2.058,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,O3,17,1,1.014,0.767,1.342,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,O3,17,2-6,0.819,0.583,1.152,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,O3,17,7-12,0.861,0.605,1.224,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
