"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","13-24",1.1166,0.9994,1.3639,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","7-12",0.8946,0.7308,1.15,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","2-6",0.9434,0.7867,1.1027,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","1",1.0282,0.9485,1.1957,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","13-24",0.9743,0.8746,1.0854,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","7-12",1.0506,0.9839,1.1487,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","2-6",1.0907,1.0038,1.205,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","1",1.0542,0.9655,1.1393,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Dennekamp et al. (2015)","OHCA","y","CO","0",0.9917,0.9173,1.0722,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","CO","1",0.9915,0.9104,1.0798,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","CO","2",0.9699,0.8882,1.0591,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","CO","0-12",1.0502,0.9453,1.1667,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","CO","0-2",1.0005,0.921,1.087,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","CO","0-24",1.1082,0.9879,1.2431,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","CO","0-3",0.9921,0.9086,1.0832,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","CO","0-4",0.9899,0.902,1.0864,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","CO","0-8",1.027,0.9238,1.1419,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM10","0",0.9993,0.9395,1.0629,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM10","1",1.0048,0.9449,1.0685,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM10","2",0.9887,0.9269,1.0546,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-12",1.0212,0.9449,1.1036,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
