fa_year,disease,general,exposure,mean_hourly,unit_original,mean_temp,mean_adjusted,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,country,continent,cohort,fu,n,male_pct,Outcome,Type.of.ES,Statistical.method,Population,RoB,Note,log.EE,log.SE,alog.EE,alog.SE
Bhaskaran et al. (2011),Myocardial infarction,y,NO2,31,μg/m3,NA,31,1-6,1.011,1.003,1.018,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0.01093994004,0.003786839069,0.01093994004,0.003786839069
Bhaskaran et al. (2011),Myocardial infarction,y,NO2,31,μg/m3,NA,31,19-24,1,0.993,1.008,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0,0.003824689945,0,0.003824689945
Bhaskaran et al. (2011),Myocardial infarction,y,NO2,31,μg/m3,NA,31,7-12,0.991,0.982,0.999,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.009040744652,0.0043784363,-0.009040744652,0.0043784363
Bhaskaran et al. (2011),Myocardial infarction,y,O3,38,μg/m3,NA,38,13-18,0.994,0.987,1.001,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.006018072326,0.003593045888,-0.006018072326,0.003593045888
Bhaskaran et al. (2011),Myocardial infarction,y,O3,38,μg/m3,NA,38,1-6,0.998,0.992,1.004,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.002002002671,0.003067396165,-0.002002002671,0.003067396165
Bhaskaran et al. (2011),Myocardial infarction,y,O3,38,μg/m3,NA,38,19-24,0.999,0.993,1.005,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.001000500334,0.003064325624,-0.001000500334,0.003064325624
Bhaskaran et al. (2011),Myocardial infarction,y,O3,38,μg/m3,NA,38,7-12,1.004,0.997,1.012,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0.00399202127,0.003809459154,0.00399202127,0.003809459154
Bhaskaran et al. (2011),Myocardial infarction,y,PM10,21,μg/m3,NA,21,13-18,0.997,0.986,1.007,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.00300450902,0.005376157683,-0.00300450902,0.005376157683
Bhaskaran et al. (2011),Myocardial infarction,y,PM10,21,μg/m3,NA,21,1-6,1.012,1.003,1.021,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0.01192857087,0.004537507705,0.01192857087,0.004537507705
Bhaskaran et al. (2011),Myocardial infarction,y,PM10,21,μg/m3,NA,21,19-24,0.998,0.989,1.007,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.002002002671,0.004601163545,-0.002002002671,0.004601163545
Bhaskaran et al. (2011),Myocardial infarction,y,PM10,21,μg/m3,NA,21,7-12,0.993,0.983,1.003,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.007024614937,0.005138180565,-0.007024614937,0.005138180565
Bhaskaran et al. (2011),Myocardial infarction,y,SO2,5,μg/m3,NA,5,13-18,0.985,0.961,1.01,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.01511363781,0.01268653083,-0.01511363781,0.01268653083
Bhaskaran et al. (2011),Myocardial infarction,y,SO2,5,μg/m3,NA,5,1-6,1,0.978,1.023,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0,0.01147578977,0,0.01147578977
Bhaskaran et al. (2011),Myocardial infarction,y,SO2,5,μg/m3,NA,5,19-24,1.016,0.994,1.039,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0.01587334916,0.01129509807,0.01587334916,0.01129509807
