"","fa_year","disease","general","exposure","mean_hourly","unit_original","mean_temp","mean_adjusted","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","continent","country","cohort","fu","n","population","incidence","male_pct","Molecular.weight","Type.of.ES","Statistical.method","Population","Outcome","RoB","Note","log.EE","log.SE","alog.EE","alog.SE"
"49","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","NO2",4,"μg/m3",NA,4,"1",1.433,0.871,2.357,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.359770148846035,0.253954828082558,0.199872304914464,0.141086015601421
"50","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","NO2",4,"μg/m3",NA,4,"2-6",1.169,0.588,2.324,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.156148682489931,0.350591369916626,0.0867492680499619,0.194772983287015
"51","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","NO2",4,"μg/m3",NA,4,"7-12",1.095,0.441,2.724,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0907543632684641,0.464492804036367,0.0504190907047023,0.258051557797981
"52","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","NO2",4,"μg/m3",NA,4,"13-24",1.33,0.485,3.646,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.285178942233662,0.514601291913552,0.158432745685368,0.28588960661864
"53","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","O3",17,"μg/m3",NA,17,"1",0.497,0.291,0.85,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.699165252885508,0.273447214875732,-0.183990856022502,0.0719597933883505
"54","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","O3",17,"μg/m3",NA,17,"2-6",0.535,0.291,0.983,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.62548853208613,0.310532105350937,-0.164602245285824,0.0817189750923519
"55","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","O3",17,"μg/m3",NA,17,"7-12",1.348,0.752,2.417,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.298622012490115,0.297843381824909,0.0785847401289777,0.0783798373223445
"56","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","O3",17,"μg/m3",NA,17,"13-24",0.35,0.117,1.052,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-1.04982212449868,0.560274096556097,-0.276268980131231,0.147440551725289
"57","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"1",1.185,0.808,1.737,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.169742774587095,0.195243037683676,0.0604066813477205,0.0694815080724825
"58","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"2-6",0.922,0.532,1.599,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0812100554255432,0.280737301911304,-0.0289003755962787,0.0999065131356952
