"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","13-24",0.9644,0.8097,1.0936,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","7-12",1.0113,0.9103,1.1235,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","2-6",1.0103,0.9181,1.1241,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","1",0.9891,0.9149,1.0682,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","13-24",1.1046,1.0153,1.2017,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","7-12",1.0898,1.0099,1.1764,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","2-6",1.0777,0.9975,1.1533,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","1",1.0839,1.0028,1.1526,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","13-24",1.13,0.9713,1.3198,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","7-12",1.113,0.9707,1.2786,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","2-6",1.15,1.0161,1.302,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","1",1.0836,0.9895,1.1667,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","13-24",1.0933,0.9325,1.296,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","7-12",0.9506,0.817,1.1145,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","2-6",0.9508,0.8395,1.1123,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","1",1.026,0.9073,1.1529,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","13-24",0.9874,0.9435,1.0796,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","7-12",1.0687,0.9885,1.1545,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","2-6",1.0534,0.977,1.1358,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","1",1.0133,0.953,1.0799,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","male"
